# skill_id	glyph	primary	secondary	mechanic
strength	fist	gold	crimson	Physical force, close combat and weapon damage.
constitution	heart	crimson	gold	Health, nourishment and recovery.
dexterity	bow	ice	wood	Aim, agility and ranged combat.
endurance	shield	prismarine	steel	Armor, resilience and survival.
intelligence	open_book	fire	gold	Learning, experience and studied precision.
building	pickaxe	copper	wood	Mining, placement and construction.
wisdom	scroll	frost	gold	Understanding, beneficial effects and insight.
magic	wand	amethyst	mana	Arcane power, mana and spellcasting.
fortune	clover	emerald	gold	Luck, treasures and exceptional rewards.
tinkering	hammer	steel	copper	Tools, repair and the forge.
